"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"97225","PORTLAND, OR",,"G",12657,"G",175252,"G",725255,950,"PORTLAND","OR","WASHINGTON"
"97227","PORTLAND, OR",,"H",11328,"H",179520,"H",710782,412,"PORTLAND","OR","MULTNOMAH"
"97228","PORTLAND, OR",,"G",21,"H",265,"H",2050,9,"PORTLAND","OR","MULTNOMAH"
"97229","PORTLAND, OR",,"G",6923,"G",89166,"G",323858,831,"PORTLAND","OR","WASHINGTON"
"97230","PORTLAND, OR",,"G",25205,"G",279274,"G",1125446,1053,"PORTLAND","OR","MULTNOMAH"
"97231","PORTLAND, OR",,"G",695,"G",7948,"G",33426,98,"PORTLAND","OR","MULTNOMAH"
"97232","PORTLAND, OR",,"G",20010,"G",218051,"G",886202,1305,"PORTLAND","OR","MULTNOMAH"
"97233","PORTLAND, OR",,"G",4237,"G",28563,"G",117252,477,"PORTLAND","OR","MULTNOMAH"
"97236","PORTLAND, OR",,"G",3649,"G",19872,"G",82284,499,"PORTLAND","OR","MULTNOMAH"
"97238","PORTLAND, OR",,"G",190,"G",1742,"G",8883,13,"PORTLAND","OR","MULTNOMAH"
"97239","PORTLAND, OR",,"H",13556,"H",288970,"H",1191188,695,"PORTLAND","OR","MULTNOMAH"
"97240","PORTLAND, OR",,"G",13,"G",112,"G",571,4,"PORTLAND","OR","MULTNOMAH"
"97242","PORTLAND, OR",,"G",88,"G",1112,"G",4695,9,"PORTLAND","OR","MULTNOMAH"
"97256","PORTLAND, OR","B","D",0,"D",0,"D",0,1,"PORTLAND","OR","MULTNOMAH"
"97258","PORTLAND, OR",,"G",875,"G",23055,"G",85679,68,"PORTLAND","OR","MULTNOMAH"
"97266","PORTLAND, OR",,"G",9866,"G",58612,"G",253482,856,"PORTLAND","OR","MULTNOMAH"
"97267","PORTLAND, OR",,"G",5791,"G",38344,"G",161893,631,"PORTLAND","OR","CLACKAMAS"
"97268","PORTLAND, OR",,"G",39,"G",364,"G",1611,10,"PORTLAND","OR","CLACKAMAS"
"97269","PORTLAND, OR",,"H",108,"G",987,"G",4984,11,"PORTLAND","OR","CLACKAMAS"
"97280","PORTLAND, OR","B","S",0,"G",724,"G",2592,11,"PORTLAND","OR","MULTNOMAH"
"97281","PORTLAND, OR",,"G",356,"G",4997,"G",18448,26,"PORTLAND","OR","WASHINGTON"
"97282","PORTLAND, OR",,"G",149,"G",775,"G",3449,17,"PORTLAND","OR","MULTNOMAH"
"97283","PORTLAND, OR",,"H",94,"H",1156,"H",5907,12,"PORTLAND","OR","MULTNOMAH"
"97286","PORTLAND, OR",,"G",41,"G",227,"G",939,3,"PORTLAND","OR","MULTNOMAH"
"97290","PORTLAND, OR",,"G",26,"G",151,"G",521,8,"PORTLAND","OR","MULTNOMAH"
"97291","PORTLAND, OR",,"G",13,"G",142,"G",662,5,"PORTLAND","OR","WASHINGTON"
"97292","PORTLAND, OR",,"H",77,"H",834,"H",3387,12,"PORTLAND","OR","MULTNOMAH"
"97293","PORTLAND, OR",,"G",53,"G",580,"G",2746,14,"PORTLAND","OR","MULTNOMAH"
"97294","PORTLAND, OR",,"G",308,"G",3542,"G",14289,17,"PORTLAND","OR","MULTNOMAH"
"97296","PORTLAND, OR","F","D",0,"D",0,"D",0,12,"PORTLAND","OR","MULTNOMAH"
"97298","PORTLAND, OR",,"G",20,"G",207,"G",826,4,"PORTLAND","OR","WASHINGTON"
"97301","SALEM, OR",,"G",30415,"G",258572,"G",1074157,1962,"SALEM","OR","MARION"
"97302","SALEM, OR",,"G",17392,"G",146119,"G",631724,1467,"SALEM","OR","MARION"
"97303","SALEM, OR",,"G",8393,"G",56450,"G",240176,825,"SALEM","OR","MARION"
"97304","SALEM, OR",,"G",4124,"G",29362,"G",132826,473,"SALEM","OR","POLK"
"97305","SALEM, OR",,"G",8551,"G",51342,"G",221681,593,"SALEM","OR","MARION"
